id;action_type;message;xpath_or_css_selector;keyword;scroll_left;scroll_top;url;expected;created_by;created_date;last_modified_by;last_modified_date
1;NAVIGATE_FORWARD;Shoes moderator disintermediate;online array;Handcrafted Drives;90736;6775;http://jaida.info;Fish magnetic Martinique;virtual transmitting;2023-04-17T16:38:55;Legacy;2023-04-17T13:27:40
2;NAVIGATE_TO;navigating Plastic;Lead Fantastic Uzbekistan;Rupiah;17444;4436;http://caleigh.net;Reduced;capability Chips;2023-04-17T19:03:02;generating Metal;2023-04-17T20:38:34
3;SCROLL;Account Borders;action-items systems;Salad;78969;91595;http://rachael.com;Metal Coves unleash;moderator deposit;2023-04-17T03:53:56;Market;2023-04-17T16:05:28
4;SEARCH;Front-line program;logistical;Checking;59454;19016;https://ansley.info;Handcrafted Security payment;Multi-lateral microchip;2023-04-17T18:19:18;Manor Internal payment;2023-04-17T17:37:24
5;NAVIGATE_TO;Soap Fords;York Markets;Pizza;63622;92545;https://marge.com;eyeballs Tasty enterprise;Human harness hack;2023-04-17T02:47:54;protocol Indiana SMTP;2023-04-17T14:58:25
6;ASSERT_THAT;Assistant payment Buckinghamshire;deposit;up Wooden;36165;34294;http://axel.org;index;Vermont;2023-04-17T15:00:49;Progressive;2023-04-17T08:31:34
7;CLICK;primary;open-source Kip;optimal Mountains Sausages;57907;84551;http://rollin.org;granular Pants;Home Devolved Pitcairn;2023-04-17T05:36:58;Legacy purple Wooden;2023-04-17T16:16:58
8;NAVIGATE_TO;sensor;red;Investor black;46478;53351;http://amya.info;back-end Chicken Outdoors;Plastic THX Money;2023-04-17T05:40:53;transform;2023-04-17T11:39:56
9;SEARCH;California;Kenyan Loan;Frozen Mississippi;72085;93382;https://horacio.org;Home Norway Consultant;Lead client-server;2023-04-17T07:34:23;turn-key copying paradigm;2023-04-17T06:43:28
10;ASSERT_THAT;deposit Causeway;reciprocal;Gorgeous niches;13754;67844;http://dixie.info;Open-architected;Usability mesh Lek;2023-04-16T23:41:42;Associate Cheese;2023-04-17T22:15:14
